lat,lon,p_reunion_timed
-36.5,94.5,0.041110
-36.5,95.0,0.037429
-36.5,95.5,0.038978
-36.5,96.0,0.045925
-36.5,96.5,0.045554
-36.5,97.0,0.043747
-36.5,97.5,0.044363
-36.5,98.0,0.036522
-36.5,98.5,0.041068
-36.5,99.0,0.041036
-36.5,99.5,0.038213
-36.5,100.0,0.038572
-36.5,100.5,0.035809
-36.5,101.0,0.022555
-36.5,101.5,0.008867
-36.5,102.0,0.008867
-36.5,102.5,0.008867
-36.5,103.0,0.008867
-36.5,103.5,0.008867
-36.0,82.0,0.004725
-36.0,82.5,0.004725
-36.0,83.0,0.004725
-36.0,83.5,0.004725
-36.0,84.0,0.004725
-36.0,84.5,0.004725
-36.0,85.0,0.004725
-36.0,85.5,0.004725
-36.0,86.0,0.004725
-36.0,86.5,0.004725
-36.0,87.0,0.005644
-36.0,87.5,0.005644
-36.0,88.0,0.006898
-36.0,88.5,0.038398
-36.0,89.0,0.037493
-36.0,89.5,0.057139
-36.0,90.0,0.050485
-36.0,90.5,0.071080
-36.0,91.0,0.075398
-36.0,91.5,0.061910
-36.0,92.0,0.059951
-36.0,92.5,0.063899
-36.0,93.0,0.049637
-36.0,93.5,0.050332
-36.0,94.0,0.049770
-36.0,94.5,0.045622
-36.0,95.0,0.041555
-36.0,95.5,0.043277
-36.0,96.0,0.049505
-36.0,96.5,0.049132
-36.0,97.0,0.047255
-36.0,97.5,0.047918
-36.0,98.0,0.039496
-36.0,98.5,0.044395
-36.0,99.0,0.044362
-36.0,99.5,0.041319
-36.0,100.0,0.041706
-36.0,100.5,0.038728
-36.0,101.0,0.023517
-36.0,101.5,0.009251
-36.0,102.0,0.009251
-36.0,102.5,0.009251
-36.0,103.0,0.009251
-36.0,103.5,0.009251
-35.5,82.0,0.004946
-35.5,82.5,0.004946
-35.5,83.0,0.004946
-35.5,83.5,0.004946
-35.5,84.0,0.004946
-35.5,84.5,0.004946
-35.5,85.0,0.004946
-35.5,85.5,0.004946
-35.5,86.0,0.004946
-35.5,86.5,0.004946
-35.5,87.0,0.005908
-35.5,87.5,0.005908
-35.5,88.0,0.007220
-35.5,88.5,0.039976
-35.5,89.0,0.039086
-35.5,89.5,0.059795
-35.5,90.0,0.052940
-35.5,90.5,0.074347
-35.5,91.0,0.078053
-35.5,91.5,0.061461
-35.5,92.0,0.059198
-35.5,92.5,0.063615
-35.5,93.0,0.049413
-35.5,93.5,0.050105
-35.5,94.0,0.049500
-35.5,94.5,0.045373
-35.5,95.0,0.041284
-35.5,95.5,0.042952
-35.5,96.0,0.048961
-35.5,96.5,0.048593
-35.5,97.0,0.046778
-35.5,97.5,0.047435
-35.5,98.0,0.039094
-35.5,98.5,0.043946
-35.5,99.0,0.043913
-35.5,99.5,0.040900
-35.5,100.0,0.041283
-35.5,100.5,0.038334
-35.5,101.0,0.023087
-35.5,101.5,0.009139
-35.5,102.0,0.009139
-35.5,102.5,0.009139
-35.5,103.0,0.009139
-35.5,103.5,0.009139
-35.0,82.0,0.005044
-35.0,82.5,0.005044
-35.0,83.0,0.005044
-35.0,83.5,0.005044
-35.0,84.0,0.005044
-35.0,84.5,0.005044
-35.0,85.0,0.005044
-35.0,85.5,0.005044
-35.0,86.0,0.005044
-35.0,86.5,0.005044
-35.0,87.0,0.006025
-35.0,87.5,0.006025
-35.0,88.0,0.007363
-35.0,88.5,0.032160
-35.0,89.0,0.031641
-35.0,89.5,0.048139
-35.0,90.0,0.042481
-35.0,90.5,0.046606
-35.0,91.0,0.047598
-35.0,91.5,0.036992
-35.0,92.0,0.034919
-35.0,92.5,0.041619
-35.0,93.0,0.034725
-35.0,93.5,0.035276
-35.0,94.0,0.035000
-35.0,94.5,0.032238
-35.0,95.0,0.029296
-35.0,95.5,0.030491
-35.0,96.0,0.034884
-35.0,96.5,0.034618
-35.0,97.0,0.033307
-35.0,97.5,0.033781
-35.0,98.0,0.027771
-35.0,98.5,0.031263
-35.0,99.0,0.031226
-35.0,99.5,0.026917
-35.0,100.0,0.027173
-35.0,100.5,0.025205
-35.0,101.0,0.019664
-35.0,101.5,0.007767
-35.0,102.0,0.007767
-35.0,102.5,0.007767
-35.0,103.0,0.007767
-35.0,103.5,0.007767
-34.5,82.0,0.005402
-34.5,82.5,0.005402
-34.5,83.0,0.005402
-34.5,83.5,0.005402
-34.5,84.0,0.005402
-34.5,84.5,0.005402
-34.5,85.0,0.005402
-34.5,85.5,0.005402
-34.5,86.0,0.005402
-34.5,86.5,0.005402
-34.5,87.0,0.006453
-34.5,87.5,0.006453
-34.5,88.0,0.007884
-34.5,88.5,0.034377
-34.5,89.0,0.033823
-34.5,89.5,0.051228
-34.5,90.0,0.045561
-34.5,90.5,0.052596
-34.5,91.0,0.053969
-34.5,91.5,0.045550
-34.5,92.0,0.044018
-34.5,92.5,0.050044
-34.5,93.0,0.038537
-34.5,93.5,0.039039
-34.5,94.0,0.038707
-34.5,94.5,0.035429
-34.5,95.0,0.032206
-34.5,95.5,0.033515
-34.5,96.0,0.038441
-34.5,96.5,0.038149
-34.5,97.0,0.036709
-34.5,97.5,0.037250
-34.5,98.0,0.030643
-34.5,98.5,0.034484
-34.5,99.0,0.034465
-34.5,99.5,0.029723
-34.5,100.0,0.030005
-34.5,100.5,0.027838
-34.5,101.0,0.021731
-34.5,101.5,0.008595
-34.5,102.0,0.008595
-34.5,102.5,0.008595
-34.5,103.0,0.008595
-34.5,103.5,0.008595
-34.0,82.0,0.004473
-34.0,82.5,0.004473
-34.0,83.0,0.004473
-34.0,83.5,0.004473
-34.0,84.0,0.004473
-34.0,84.5,0.004473
-34.0,85.0,0.004473
-34.0,85.5,0.004473
-34.0,86.0,0.004473
-34.0,86.5,0.004473
-34.0,87.0,0.005344
-34.0,87.5,0.005344
-34.0,88.0,0.006531
-34.0,88.5,0.028247
-34.0,89.0,0.027789
-34.0,89.5,0.042225
-34.0,90.0,0.037476
-34.0,90.5,0.043124
-34.0,91.0,0.044086
-34.0,91.5,0.035995
-34.0,92.0,0.034719
-34.0,92.5,0.038286
-34.0,93.0,0.028762
-34.0,93.5,0.030147
-34.0,94.0,0.030220
-34.0,94.5,0.027701
-34.0,95.0,0.024181
-34.0,95.5,0.025841
-34.0,96.0,0.031211
-34.0,96.5,0.030972
-34.0,97.0,0.029300
-34.0,97.5,0.029735
-34.0,98.0,0.024414
-34.0,98.5,0.028641
-34.0,99.0,0.028626
-34.0,99.5,0.024667
-34.0,100.0,0.024926
-34.0,100.5,0.023118
-34.0,101.0,0.018027
-34.0,101.5,0.007114
-34.0,102.0,0.007114
-34.0,102.5,0.007114
-34.0,103.0,0.007114
-34.0,103.5,0.007114
-33.5,82.0,0.005226
-33.5,82.5,0.005226
-33.5,83.0,0.005226
-33.5,83.5,0.005226
-33.5,84.0,0.005226
-33.5,84.5,0.005226
-33.5,85.0,0.005226
-33.5,85.5,0.005226
-33.5,86.0,0.005226
-33.5,86.5,0.005226
-33.5,87.0,0.005785
-33.5,87.5,0.005785
-33.5,88.0,0.006906
-33.5,88.5,0.029844
-33.5,89.0,0.029362
-33.5,89.5,0.044576
-33.5,90.0,0.039575
-33.5,90.5,0.045424
-33.5,91.0,0.046453
-33.5,91.5,0.037874
-33.5,92.0,0.036534
-33.5,92.5,0.040965
-33.5,93.0,0.031128
-33.5,93.5,0.032461
-33.5,94.0,0.032257
-33.5,94.5,0.029144
-33.5,95.0,0.025291
-33.5,95.5,0.027061
-33.5,96.0,0.032349
-33.5,96.5,0.032102
-33.5,97.0,0.030152
-33.5,97.5,0.030599
-33.5,98.0,0.025128
-33.5,98.5,0.029450
-33.5,99.0,0.029434
-33.5,99.5,0.025366
-33.5,100.0,0.025633
-33.5,100.5,0.023774
-33.5,101.0,0.018542
-33.5,101.5,0.007319
-33.5,102.0,0.007319
-33.5,102.5,0.007319
-33.5,103.0,0.007319
-33.5,103.5,0.007319
-33.0,82.0,0.004921
-33.0,82.5,0.004921
-33.0,83.0,0.004921
-33.0,83.5,0.004921
-33.0,84.0,0.004921
-33.0,84.5,0.004921
-33.0,85.0,0.004921
-33.0,85.5,0.004921
-33.0,86.0,0.004921
-33.0,86.5,0.004921
-33.0,87.0,0.005448
-33.0,87.5,0.005448
-33.0,88.0,0.006504
-33.0,88.5,0.028145
-33.0,89.0,0.027689
-33.0,89.5,0.042075
-33.0,90.0,0.037343
-33.0,90.5,0.042877
-33.0,91.0,0.043851
-33.0,91.5,0.035671
-33.0,92.0,0.034490
-33.0,92.5,0.038361
-33.0,93.0,0.028974
-33.0,93.5,0.030073
-33.0,94.0,0.029903
-33.0,94.5,0.027636
-33.0,95.0,0.022677
-33.0,95.5,0.024282
-33.0,96.0,0.030993
-33.0,96.5,0.030806
-33.0,97.0,0.028855
-33.0,97.5,0.029284
-33.0,98.0,0.024018
-33.0,98.5,0.028154
-33.0,99.0,0.028138
-33.0,99.5,0.024245
-33.0,100.0,0.024500
-33.0,100.5,0.022722
-33.0,101.0,0.017717
-33.0,101.5,0.006990
-33.0,102.0,0.006990
-33.0,102.5,0.006990
-33.0,103.0,0.006990
-33.0,103.5,0.006990
-32.5,82.0,0.004338
-32.5,82.5,0.004338
-32.5,83.0,0.004338
-32.5,83.5,0.004338
-32.5,84.0,0.004338
-32.5,84.5,0.004338
-32.5,85.0,0.004338
-32.5,85.5,0.004338
-32.5,86.0,0.004338
-32.5,86.5,0.004338
-32.5,87.0,0.004802
-32.5,87.5,0.004802
-32.5,88.0,0.005734
-32.5,88.5,0.024879
-32.5,89.0,0.024475
-32.5,89.5,0.037188
-32.5,90.0,0.032987
-32.5,90.5,0.037901
-32.5,91.0,0.038766
-32.5,91.5,0.031415
-32.5,92.0,0.030370
-32.5,92.5,0.033795
-32.5,93.0,0.024689
-32.5,93.5,0.025508
-32.5,94.0,0.025139
-32.5,94.5,0.022963
-32.5,95.0,0.018832
-32.5,95.5,0.020086
-32.5,96.0,0.027761
-32.5,96.5,0.027593
-32.5,97.0,0.025840
-32.5,97.5,0.026225
-32.5,98.0,0.021497
-32.5,98.5,0.025210
-32.5,99.0,0.025196
-32.5,99.5,0.021701
-32.5,100.0,0.021930
-32.5,100.5,0.020334
-32.5,101.0,0.015847
-32.5,101.5,0.006245
-32.5,102.0,0.006245
-32.5,102.5,0.006245
-32.5,103.0,0.006245
-32.5,103.5,0.006245
-32.0,82.0,0.004743
-32.0,82.5,0.004743
-32.0,83.0,0.004743
-32.0,83.5,0.004743
-32.0,84.0,0.004743
-32.0,84.5,0.004743
-32.0,85.0,0.004743
-32.0,85.5,0.004743
-32.0,86.0,0.004743
-32.0,86.5,0.004743
-32.0,87.0,0.005251
-32.0,87.5,0.005251
-32.0,88.0,0.006269
-32.0,88.5,0.027150
-32.0,89.0,0.026710
-32.0,89.5,0.040644
-32.0,90.0,0.036067
-32.0,90.5,0.041420
-32.0,91.0,0.042362
-32.0,91.5,0.034433
-32.0,92.0,0.033313
-32.0,92.5,0.037096
-32.0,93.0,0.027745
-32.0,93.5,0.028723
-32.0,94.0,0.028450
-32.0,94.5,0.025945
-32.0,95.0,0.022883
-32.0,95.5,0.023600
-32.0,96.0,0.030761
-32.0,96.5,0.030523
-32.0,97.0,0.028695
-32.0,97.5,0.029099
-32.0,98.0,0.023595
-32.0,98.5,0.027660
-32.0,99.0,0.027580
-32.0,99.5,0.023762
-32.0,100.0,0.023881
-32.0,100.5,0.022180
-32.0,101.0,0.017293
-32.0,101.5,0.006821
-32.0,102.0,0.006821
-32.0,102.5,0.006821
-32.0,103.0,0.006821
-32.0,103.5,0.006821
-31.5,82.0,0.005468
-31.5,82.5,0.005468
-31.5,83.0,0.005468
-31.5,83.5,0.005468
-31.5,84.0,0.005468
-31.5,84.5,0.005468
-31.5,85.0,0.005468
-31.5,85.5,0.005468
-31.5,86.0,0.005468
-31.5,86.5,0.005468
-31.5,87.0,0.006052
-31.5,87.5,0.006052
-31.5,88.0,0.007225
-31.5,88.5,0.031189
-31.5,89.0,0.030599
-31.5,89.5,0.046557
-31.5,90.0,0.041388
-31.5,90.5,0.047493
-31.5,91.0,0.048566
-31.5,91.5,0.040209
-31.5,92.0,0.038908
-31.5,92.5,0.043352
-31.5,93.0,0.034701
-31.5,93.5,0.035802
-31.5,94.0,0.035430
-31.5,94.5,0.033793
-31.5,95.0,0.031951
-31.5,95.5,0.031909
-31.5,96.0,0.042937
-31.5,96.5,0.042270
-31.5,97.0,0.036896
-31.5,97.5,0.037765
-31.5,98.0,0.030183
-31.5,98.5,0.035220
-31.5,99.0,0.035118
-31.5,99.5,0.030289
-31.5,100.0,0.030440
-31.5,100.5,0.028286
-31.5,101.0,0.022083
-31.5,101.5,0.008736
-31.5,102.0,0.008736
-31.5,102.5,0.008736
-31.5,103.0,0.008736
-31.5,103.5,0.008736
-31.0,82.0,0.005246
-31.0,82.5,0.005246
-31.0,83.0,0.005246
-31.0,83.5,0.005246
-31.0,84.0,0.005246
-31.0,84.5,0.005246
-31.0,85.0,0.005246
-31.0,85.5,0.005246
-31.0,86.0,0.005246
-31.0,86.5,0.005246
-31.0,87.0,0.005807
-31.0,87.5,0.005807
-31.0,88.0,0.006933
-31.0,88.5,0.029992
-31.0,89.0,0.029424
-31.0,89.5,0.044671
-31.0,90.0,0.039791
-31.0,90.5,0.045671
-31.0,91.0,0.046705
-31.0,91.5,0.038703
-31.0,92.0,0.037449
-31.0,92.5,0.041874
-31.0,93.0,0.033267
-31.0,93.5,0.034324
-31.0,94.0,0.033928
-31.0,94.5,0.032385
-31.0,95.0,0.030618
